model,checkpoint,eng,nld,spa,fra,rus,ita,por,tur,ara,deu,zhos
HPLT/hplt2c_tur_checkpoints,main,0.8493506493506493,0.6649506649506649,0.738685556867375,0.7629513343799058,0.5401878914405011,0.5885295098366122,0.6742125984251969,0.986796785304248,0.7358024691358025,0.7837249782419495,
HPLT/hplt2c__checkpoints,checkpoint_0047684,,,,,,,,,,,
HPLT/hplt2c__checkpoints,main,,,,,,,,,,,
HPLT/hplt2c_ita_checkpoints,checkpoint_0046000,0.9090909090909091,0.725010725010725,0.90633608815427,0.9136577708006279,0.576722338204593,0.9816605535178393,0.8369422572178478,0.6423650975889782,0.6995884773662552,0.84029590948651,
HPLT/hplt2c_zhos_checkpoints,checkpoint_0038000,0.7298701298701299,0.5482625482625483,0.6965761511216056,0.6836734693877551,0.5446242171189979,0.5645215071690564,0.6282808398950132,0.6636050516647531,0.6345679012345679,0.6801566579634465,
HPLT/hplt2c_ita_checkpoints,checkpoint_0047000,0.9194805194805195,0.7258687258687259,0.911452184179457,0.9148351648351648,0.569937369519833,0.9826608869623208,0.8375984251968503,0.653272101033295,0.7020576131687243,0.8350739773716275,
HPLT/hplt2c_ita_checkpoints,checkpoint_0047684,,,,,,,,,,,
HPLT/hplt2c_zhos_checkpoints,checkpoint_0039000,0.7311688311688311,0.48348348348348347,0.7068083431719795,0.6726844583987441,0.5511482254697286,0.5781927309103034,0.6200787401574803,0.677382319173364,0.6246913580246913,0.6744995648389904,
HPLT/hplt2c_ita_checkpoints,main,0.9181818181818182,0.7314457314457314,0.9098780007870917,0.9160125588697017,0.5691544885177453,0.9833277759253084,0.8349737532808399,0.6572904707233066,0.7069958847736626,0.8411662315056571,
HPLT/hplt2c_zhos_checkpoints,checkpoint_0040000,0.7662337662337663,0.5328185328185329,0.7229437229437229,0.6797488226059655,0.5623695198329853,0.5765255085028342,0.6164698162729659,0.6699196326061998,0.654320987654321,0.7053959965187119,
HPLT/hplt2c_zhos_checkpoints,checkpoint_0041000,0.7571428571428571,0.5418275418275418,0.721763085399449,0.6946624803767661,0.5427974947807933,0.5901967322440813,0.619750656167979,0.6785304247990815,0.6691358024691358,0.7032201914708442,
HPLT/hplt2c_zhos_checkpoints,checkpoint_0042000,0.7493506493506493,0.54997854997855,0.7024793388429752,0.6711145996860283,0.5391440501043842,0.5805268422807602,0.630249343832021,0.6647531572904707,0.6584362139917695,0.7075718015665796,
HPLT/hplt2c_zhos_checkpoints,checkpoint_0043000,0.7584415584415585,0.540969540969541,0.7056277056277056,0.6864207221350078,0.543580375782881,0.5818606202067356,0.6223753280839895,0.6659012629161883,0.6699588477366255,0.7093124456048738,
HPLT/hplt2c_zhos_checkpoints,checkpoint_0044000,0.7571428571428571,0.5624195624195624,0.695789059425423,0.6946624803767661,0.552713987473904,0.5965321773924641,0.6253280839895013,0.6670493685419059,0.6526748971193416,0.7171453437771975,
HPLT/hplt2c_zhos_checkpoints,checkpoint_0045000,0.7753246753246753,0.5598455598455598,0.7107438016528925,0.6934850863422292,0.5495824634655533,0.5825275091697233,0.6240157480314961,0.664179104477612,0.6526748971193416,0.7132288946910357,
HPLT/hplt2c_zhos_checkpoints,checkpoint_0046000,0.7649350649350649,0.5568425568425568,0.7111373475009839,0.6970172684458399,0.5600208768267223,0.5885295098366122,0.619750656167979,0.6699196326061998,0.6370370370370371,0.7180156657963447,
HPLT/hplt2c_zhos_checkpoints,checkpoint_0047000,0.7818181818181819,0.5804375804375804,0.7150728059818969,0.695839874411303,0.5501043841336117,0.594864954984995,0.631233595800525,0.6745120551090701,0.6444444444444445,0.720626631853786,
HPLT/hplt2c_zhos_checkpoints,checkpoint_0047684,,,,,,,,,,,
HPLT/hplt2c_zhos_checkpoints,main,0.7779220779220779,0.5765765765765766,0.7158598976780794,0.695054945054945,0.5524530271398748,0.586862287429143,0.6305774278215223,0.669345579793341,0.6411522633744856,0.720626631853786,
