|       Tasks        |Version|Filter|n-shot| Metric |   |Value |   |Stderr|
| - belebele_hin_Latn|    0.0|none  |     0|acc     |↑  |0.2489|±  |0.0144|
|                    |       |none  |     0|acc_norm|↑  |0.2489|±  |0.0144|
| - belebele_hrv_Latn|    0.0|none  |     0|acc     |↑  |0.2489|±  |0.0144|
|                    |       |none  |     0|acc_norm|↑  |0.2489|±  |0.0144|
| - belebele_hun_Latn|    0.0|none  |     0|acc     |↑  |0.2378|±  |0.0142|
|                    |       |none  |     0|acc_norm|↑  |0.2378|±  |0.0142|
| - belebele_hye_Armn|    0.0|none  |     0|acc     |↑  |0.2367|±  |0.0142|
|                    |       |none  |     0|acc_norm|↑  |0.2367|±  |0.0142|
| - belebele_ibo_Latn|    0.0|none  |     0|acc     |↑  |0.2378|±  |0.0142|
|                    |       |none  |     0|acc_norm|↑  |0.2378|±  |0.0142|
| - belebele_ilo_Latn|    0.0|none  |     0|acc     |↑  |0.2411|±  |0.0143|
|                    |       |none  |     0|acc_norm|↑  |0.2411|±  |0.0143|
| - belebele_ind_Latn|    0.0|none  |     0|acc     |↑  |0.2500|±  |0.0144|
|                    |       |none  |     0|acc_norm|↑  |0.2500|±  |0.0144|
| - belebele_isl_Latn|    0.0|none  |     0|acc     |↑  |0.2556|±  |0.0145|
|                    |       |none  |     0|acc_norm|↑  |0.2556|±  |0.0145|
| - belebele_ita_Latn|    0.0|none  |     0|acc     |↑  |0.2522|±  |0.0145|
|                    |       |none  |     0|acc_norm|↑  |0.2522|±  |0.0145|
| - belebele_jav_Latn|    0.0|none  |     0|acc     |↑  |0.2389|±  |0.0142|
|                    |       |none  |     0|acc_norm|↑  |0.2389|±  |0.0142|
| - belebele_jpn_Jpan|    0.0|none  |     0|acc     |↑  |0.2522|±  |0.0145|
|                    |       |none  |     0|acc_norm|↑  |0.2522|±  |0.0145|
| - belebele_kac_Latn|    0.0|none  |     0|acc     |↑  |0.2222|±  |0.0139|
|                    |       |none  |     0|acc_norm|↑  |0.2222|±  |0.0139|
| - belebele_kan_Knda|    0.0|none  |     0|acc     |↑  |0.2344|±  |0.0141|
|                    |       |none  |     0|acc_norm|↑  |0.2344|±  |0.0141|
| - belebele_kat_Geor|    0.0|none  |     0|acc     |↑  |0.2267|±  |0.0140|
|                    |       |none  |     0|acc_norm|↑  |0.2267|±  |0.0140|
| - belebele_kaz_Cyrl|    0.0|none  |     0|acc     |↑  |0.2322|±  |0.0141|
|                    |       |none  |     0|acc_norm|↑  |0.2322|±  |0.0141|
| - belebele_kea_Latn|    0.0|none  |     0|acc     |↑  |0.2300|±  |0.0140|
|                    |       |none  |     0|acc_norm|↑  |0.2300|±  |0.0140|
| - belebele_khk_Cyrl|    0.0|none  |     0|acc     |↑  |0.2233|±  |0.0139|
|                    |       |none  |     0|acc_norm|↑  |0.2233|±  |0.0139|
| - belebele_khm_Khmr|    0.0|none  |     0|acc     |↑  |0.2533|±  |0.0145|
|                    |       |none  |     0|acc_norm|↑  |0.2533|±  |0.0145|
| - belebele_kin_Latn|    0.0|none  |     0|acc     |↑  |0.2656|±  |0.0147|
|                    |       |none  |     0|acc_norm|↑  |0.2656|±  |0.0147|
| - belebele_kir_Cyrl|    0.0|none  |     0|acc     |↑  |0.2389|±  |0.0142|
|                    |       |none  |     0|acc_norm|↑  |0.2389|±  |0.0142|
| - belebele_kor_Hang|    0.0|none  |     0|acc     |↑  |0.2244|±  |0.0139|
|                    |       |none  |     0|acc_norm|↑  |0.2244|±  |0.0139|
| - belebele_lao_Laoo|    0.0|none  |     0|acc     |↑  |0.2444|±  |0.0143|
|                    |       |none  |     0|acc_norm|↑  |0.2444|±  |0.0143|
| - belebele_lin_Latn|    0.0|none  |     0|acc     |↑  |0.2556|±  |0.0145|
|                    |       |none  |     0|acc_norm|↑  |0.2556|±  |0.0145|
| - belebele_lit_Latn|    0.0|none  |     0|acc     |↑  |0.2267|±  |0.0140|
|                    |       |none  |     0|acc_norm|↑  |0.2267|±  |0.0140|
| - belebele_lug_Latn|    0.0|none  |     0|acc     |↑  |0.2500|±  |0.0144|
|                    |       |none  |     0|acc_norm|↑  |0.2500|±  |0.0144|
| - belebele_luo_Latn|    0.0|none  |     0|acc     |↑  |0.2400|±  |0.0142|
|                    |       |none  |     0|acc_norm|↑  |0.2400|±  |0.0142|
| - belebele_lvs_Latn|    0.0|none  |     0|acc     |↑  |0.2478|±  |0.0144|
|                    |       |none  |     0|acc_norm|↑  |0.2478|±  |0.0144|
| - belebele_mal_Mlym|    0.0|none  |     0|acc     |↑  |0.2333|±  |0.0141|
|                    |       |none  |     0|acc_norm|↑  |0.2333|±  |0.0141|
| - belebele_mar_Deva|    0.0|none  |     0|acc     |↑  |0.2367|±  |0.0142|
|                    |       |none  |     0|acc_norm|↑  |0.2367|±  |0.0142|
| - belebele_mkd_Cyrl|    0.0|none  |     0|acc     |↑  |0.2411|±  |0.0143|
|                    |       |none  |     0|acc_norm|↑  |0.2411|±  |0.0143|
| - belebele_mlt_Latn|    0.0|none  |     0|acc     |↑  |0.2500|±  |0.0144|
|                    |       |none  |     0|acc_norm|↑  |0.2500|±  |0.0144|
| - belebele_mri_Latn|    0.0|none  |     0|acc     |↑  |0.2400|±  |0.0142|
|                    |       |none  |     0|acc_norm|↑  |0.2400|±  |0.0142|
| - belebele_mya_Mymr|    0.0|none  |     0|acc     |↑  |0.2289|±  |0.0140|
|                    |       |none  |     0|acc_norm|↑  |0.2289|±  |0.0140|
| - belebele_nld_Latn|    0.0|none  |     0|acc     |↑  |0.2333|±  |0.0141|
|                    |       |none  |     0|acc_norm|↑  |0.2333|±  |0.0141|
| - belebele_nob_Latn|    0.0|none  |     0|acc     |↑  |0.2711|±  |0.0148|
|                    |       |none  |     0|acc_norm|↑  |0.2711|±  |0.0148|
| - belebele_npi_Deva|    0.0|none  |     0|acc     |↑  |0.2278|±  |0.0140|
|                    |       |none  |     0|acc_norm|↑  |0.2278|±  |0.0140|
| - belebele_npi_Latn|    0.0|none  |     0|acc     |↑  |0.2456|±  |0.0144|
|                    |       |none  |     0|acc_norm|↑  |0.2456|±  |0.0144|
| - belebele_nso_Latn|    0.0|none  |     0|acc     |↑  |0.2367|±  |0.0142|
|                    |       |none  |     0|acc_norm|↑  |0.2367|±  |0.0142|
| - belebele_nya_Latn|    0.0|none  |     0|acc     |↑  |0.2344|±  |0.0141|
|                    |       |none  |     0|acc_norm|↑  |0.2344|±  |0.0141|
| - belebele_ory_Orya|    0.0|none  |     0|acc     |↑  |0.2767|±  |0.0149|
|                    |       |none  |     0|acc_norm|↑  |0.2767|±  |0.0149|
| - belebele_pan_Guru|    0.0|none  |     0|acc     |↑  |0.2378|±  |0.0142|
|                    |       |none  |     0|acc_norm|↑  |0.2378|±  |0.0142|
| - belebele_pbt_Arab|    0.0|none  |     0|acc     |↑  |0.2122|±  |0.0136|
|                    |       |none  |     0|acc_norm|↑  |0.2122|±  |0.0136|
| - belebele_pes_Arab|    0.0|none  |     0|acc     |↑  |0.2144|±  |0.0137|
|                    |       |none  |     0|acc_norm|↑  |0.2144|±  |0.0137|
| - belebele_plt_Latn|    0.0|none  |     0|acc     |↑  |0.2344|±  |0.0141|
|                    |       |none  |     0|acc_norm|↑  |0.2344|±  |0.0141|
