model,checkpoint,eng_acc,nld_acc,spa_acc,fra_acc,rus_acc,ita_acc,por_acc,tur_acc,ara_acc,deu_acc,eng_se,nld_se,spa_se,fra_se,rus_se,ita_se,por_se,tur_se,ara_se,deu_se,source_path
HPLT/hplt2c__checkpoints,checkpoint_0023000,,,,,,,,,,,,,,,,,,,,,multiblimp/results/HPLT/hplt2c__checkpoints/checkpoint_0023000/all.csv
HPLT/hplt2c__checkpoints,checkpoint_0024000,,,,,,,,,,,,,,,,,,,,,multiblimp/results/HPLT/hplt2c__checkpoints/checkpoint_0024000/all.csv
HPLT/hplt2c__checkpoints,checkpoint_0025000,,,,,,,,,,,,,,,,,,,,,multiblimp/results/HPLT/hplt2c__checkpoints/checkpoint_0025000/all.csv
HPLT/hplt2c__checkpoints,checkpoint_0026000,,,,,,,,,,,,,,,,,,,,,multiblimp/results/HPLT/hplt2c__checkpoints/checkpoint_0026000/all.csv
HPLT/hplt2c__checkpoints,checkpoint_0027000,,,,,,,,,,,,,,,,,,,,,multiblimp/results/HPLT/hplt2c__checkpoints/checkpoint_0027000/all.csv
HPLT/hplt2c__checkpoints,checkpoint_0028000,,,,,,,,,,,,,,,,,,,,,multiblimp/results/HPLT/hplt2c__checkpoints/checkpoint_0028000/all.csv
HPLT/hplt2c__checkpoints,checkpoint_0029000,,,,,,,,,,,,,,,,,,,,,multiblimp/results/HPLT/hplt2c__checkpoints/checkpoint_0029000/all.csv
HPLT/hplt2c__checkpoints,checkpoint_0030000,,,,,,,,,,,,,,,,,,,,,multiblimp/results/HPLT/hplt2c__checkpoints/checkpoint_0030000/all.csv
HPLT/hplt2c__checkpoints,checkpoint_0031000,,,,,,,,,,,,,,,,,,,,,multiblimp/results/HPLT/hplt2c__checkpoints/checkpoint_0031000/all.csv
HPLT/hplt2c__checkpoints,checkpoint_0032000,,,,,,,,,,,,,,,,,,,,,multiblimp/results/HPLT/hplt2c__checkpoints/checkpoint_0032000/all.csv
HPLT/hplt2c__checkpoints,checkpoint_0033000,,,,,,,,,,,,,,,,,,,,,multiblimp/results/HPLT/hplt2c__checkpoints/checkpoint_0033000/all.csv
HPLT/hplt2c__checkpoints,checkpoint_0034000,,,,,,,,,,,,,,,,,,,,,multiblimp/results/HPLT/hplt2c__checkpoints/checkpoint_0034000/all.csv
HPLT/hplt2c__checkpoints,checkpoint_0035000,,,,,,,,,,,,,,,,,,,,,multiblimp/results/HPLT/hplt2c__checkpoints/checkpoint_0035000/all.csv
HPLT/hplt2c__checkpoints,checkpoint_0036000,,,,,,,,,,,,,,,,,,,,,multiblimp/results/HPLT/hplt2c__checkpoints/checkpoint_0036000/all.csv
HPLT/hplt2c__checkpoints,checkpoint_0037000,,,,,,,,,,,,,,,,,,,,,multiblimp/results/HPLT/hplt2c__checkpoints/checkpoint_0037000/all.csv
HPLT/hplt2c__checkpoints,checkpoint_0038000,,,,,,,,,,,,,,,,,,,,,multiblimp/results/HPLT/hplt2c__checkpoints/checkpoint_0038000/all.csv
HPLT/hplt2c__checkpoints,checkpoint_0039000,,,,,,,,,,,,,,,,,,,,,multiblimp/results/HPLT/hplt2c__checkpoints/checkpoint_0039000/all.csv
HPLT/hplt2c__checkpoints,checkpoint_0040000,,,,,,,,,,,,,,,,,,,,,multiblimp/results/HPLT/hplt2c__checkpoints/checkpoint_0040000/all.csv
HPLT/hplt2c__checkpoints,checkpoint_0041000,,,,,,,,,,,,,,,,,,,,,multiblimp/results/HPLT/hplt2c__checkpoints/checkpoint_0041000/all.csv
HPLT/hplt2c__checkpoints,checkpoint_0042000,,,,,,,,,,,,,,,,,,,,,multiblimp/results/HPLT/hplt2c__checkpoints/checkpoint_0042000/all.csv
HPLT/hplt2c__checkpoints,checkpoint_0043000,,,,,,,,,,,,,,,,,,,,,multiblimp/results/HPLT/hplt2c__checkpoints/checkpoint_0043000/all.csv
HPLT/hplt2c__checkpoints,checkpoint_0044000,,,,,,,,,,,,,,,,,,,,,multiblimp/results/HPLT/hplt2c__checkpoints/checkpoint_0044000/all.csv
HPLT/hplt2c__checkpoints,checkpoint_0045000,,,,,,,,,,,,,,,,,,,,,multiblimp/results/HPLT/hplt2c__checkpoints/checkpoint_0045000/all.csv
HPLT/hplt2c__checkpoints,checkpoint_0046000,,,,,,,,,,,,,,,,,,,,,multiblimp/results/HPLT/hplt2c__checkpoints/checkpoint_0046000/all.csv
HPLT/hplt2c__checkpoints,checkpoint_0047000,,,,,,,,,,,,,,,,,,,,,multiblimp/results/HPLT/hplt2c__checkpoints/checkpoint_0047000/all.csv
HPLT/hplt2c__checkpoints,checkpoint_0047684,,,,,,,,,,,,,,,,,,,,,multiblimp/results/HPLT/hplt2c__checkpoints/checkpoint_0047684/all.csv
HPLT/hplt2c__checkpoints,main,,,,,,,,,,,,,,,,,,,,,multiblimp/results/HPLT/hplt2c__checkpoints/main/all.csv
HPLT/hplt2c_ara_checkpoints,checkpoint_0001000,0.6662337662337663,0.5611325611325612,0.6706021251475797,0.6393249607535322,0.5349686847599165,0.5445148382794265,0.6233595800524935,0.7003444316877153,0.8452674897119341,0.6723237597911227,0.0169937473208487,0.0102784654070397,0.0093237479921681,0.0095130364843142,0.0080573555764095,0.0090939747369613,0.0087765796898855,0.0109759707455405,0.0103752776966363,0.009791217397499,multiblimp/results/HPLT/hplt2c_ara_checkpoints/checkpoint_0001000/all.csv
