model,ckpt,flores200_eng,flores200_nld,flores200_spa,flores200_fra,flores200_rus,flores200_ita,flores200_tur,flores200_arb,flores200_deu,flores200_zho,xcsqa_eng,xcsqa_nld,xcsqa_spa,xcsqa_fra,xcsqa_rus,xcsqa_ita,xcsqa_tur,xcsqa_arb,xcsqa_deu,xcsqa_zho,hellaswag_eng,hellaswag_nld,hellaswag_spa,hellaswag_fra,hellaswag_rus,hellaswag_ita,hellaswag_tur,hellaswag_arb,hellaswag_deu,hellaswag_zho,belebele_eng,belebele_nld,belebele_spa,belebele_fra,belebele_rus,belebele_ita,belebele_tur,belebele_arb,belebele_deu,belebele_zho,multiblimp_eng,multiblimp_nld,multiblimp_spa,multiblimp_fra,multiblimp_rus,multiblimp_ita,multiblimp_tur,multiblimp_arb,multiblimp_deu,multiblimp_zho
mixed-10-checkpoints,45000,43.5714,32.7464,34.5028,37.1194,34.2149,30.0,41.5157,,41.8065,,0.45,0.343,0.353,0.344,0.3053,0.3789,,,0.3602,,0.478,0.391,0.44,0.411,0.392,0.406,0.4,,0.38,,0.3678,0.3733,0.3856,0.39,0.3611,0.3611,0.3422,,0.3878,,0.9727,0.9824,0.9784,0.987,0.9783,0.9707,0.9535,0.9473,0.9896,
mixed-10-checkpoints,46000,37.0213,33.5419,30.0786,40.075,25.022,21.4997,28.1326,,38.1077,,0.451,0.344,0.347,0.339,0.3063,0.3749,,,0.3511,,0.492,0.393,0.437,0.418,0.387,0.415,0.405,,0.384,,0.3811,0.3733,0.3911,0.3989,0.3678,0.3578,0.3478,,0.3867,,0.9727,0.9854,0.978,0.9906,0.9786,0.9723,0.9592,0.9539,0.9891,
mixed-10-checkpoints,47000,37.0213,51.5995,32.1198,37.1194,32.2861,26.4732,35.0994,,38.472,,0.452,0.345,0.351,0.337,0.3083,0.3719,,,0.3581,,0.482,0.393,0.447,0.426,0.396,0.415,0.401,,0.386,,0.3811,0.3789,0.3822,0.4022,0.3756,0.3644,0.3433,,0.3867,,0.9727,0.9871,0.978,0.9906,0.9786,0.9743,0.9581,0.9514,0.9896,
mixed-10-checkpoints,47684,42.2039,26.6938,35.6339,40.075,29.725,34.4766,34.9588,,38.472,,0.457,0.347,0.352,0.337,0.3063,0.3698,,,0.3581,,0.485,0.398,0.444,0.423,0.392,0.417,0.4,,0.384,,0.3833,0.3789,0.3844,0.4078,0.3656,0.3633,0.3433,,0.3878,,0.9753,0.9858,0.9791,0.991,0.9783,0.9723,0.9569,0.9523,0.99,
merged-10-checkpoints,1000,0.0,0.0,0.0,2.8411,5.373,0.0,3.4737,,0.0,,0.214,0.21,0.208,0.187,0.213,0.2151,,,0.1962,,0.258,0.25,0.268,0.248,0.269,0.276,0.243,,0.275,,0.2267,0.2344,0.2378,0.2289,0.2311,0.2389,0.2356,,0.2189,,0.6701,0.5761,0.6816,0.633,0.536,0.5575,0.6877,0.665,0.668,
merged-10-checkpoints,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.214,0.21,0.22,0.182,0.214,0.2231,,,0.2012,,0.242,0.249,0.264,0.25,0.262,0.265,0.234,,0.269,,0.23,0.2456,0.2478,0.2444,0.2356,0.2511,0.2333,,0.2267,,0.6636,0.5646,0.6871,0.624,0.5462,0.5609,0.6722,0.6551,0.658,
merged-10-checkpoints,3000,2.7607,2.3302,2.3064,2.8683,0.0,0.0,0.0,,0.0,,0.222,0.202,0.211,0.184,0.212,0.2111,,,0.2042,,0.257,0.239,0.258,0.245,0.259,0.248,0.237,,0.261,,0.2256,0.2322,0.2267,0.2278,0.23,0.2444,0.2367,,0.23,,0.6688,0.5736,0.6718,0.626,0.5391,0.5572,0.6831,0.6453,0.6475,
merged-10-checkpoints,4000,2.6883,2.0099,2.2791,2.3015,2.4968,2.8375,2.3627,,2.1344,,0.216,0.197,0.215,0.179,0.2312,0.2221,,,0.2052,,0.282,0.221,0.268,0.218,0.26,0.268,0.254,,0.253,,0.22,0.24,0.2244,0.23,0.2289,0.2333,0.2222,,0.2311,,0.6649,0.5556,0.66,0.626,0.5331,0.5332,0.6699,0.6379,0.6262,
merged-10-checkpoints,5000,2.3427,2.1277,2.4877,2.1528,2.5088,2.9679,2.4286,,2.2078,,0.229,0.208,0.213,0.179,0.2069,0.2171,,,0.2072,,0.264,0.221,0.282,0.242,0.262,0.262,0.253,,0.264,,0.2267,0.2211,0.2178,0.2467,0.2433,0.2344,0.2233,,0.2278,,0.6584,0.562,0.6588,0.6303,0.5324,0.5342,0.6711,0.6617,0.6414,
merged-10-checkpoints,6000,2.5977,2.0828,2.2088,2.3826,2.5848,2.5613,2.3717,,2.2098,,0.223,0.213,0.213,0.194,0.211,0.2191,,,0.1992,,0.266,0.242,0.266,0.244,0.265,0.256,0.245,,0.263,,0.2389,0.2378,0.2256,0.2489,0.2411,0.2411,0.2211,,0.2311,,0.6636,0.577,0.6592,0.5977,0.5334,0.5398,0.6527,0.6527,0.6279,
merged-10-checkpoints,7000,2.418,2.0126,2.1297,2.2178,2.4954,2.5613,2.2897,,2.1334,,0.232,0.223,0.212,0.201,0.2201,0.2161,,,0.2052,,0.258,0.246,0.278,0.238,0.266,0.264,0.238,,0.259,,0.2389,0.23,0.2289,0.2444,0.2367,0.24,0.2211,,0.2311,,0.6571,0.5551,0.6635,0.5824,0.5347,0.5265,0.6584,0.623,0.6558,
merged-10-checkpoints,8000,2.5079,1.8324,2.2088,2.1359,2.3171,2.2889,2.1261,,1.981,,0.229,0.222,0.213,0.195,0.2221,0.2251,,,0.2032,,0.26,0.242,0.277,0.24,0.26,0.256,0.245,,0.249,,0.2222,0.2411,0.2356,0.2356,0.2344,0.2322,0.2233,,0.2389,,0.6792,0.5616,0.6564,0.5989,0.547,0.5315,0.6877,0.6584,0.6406,
merged-10-checkpoints,9000,1.8812,1.6212,1.6568,2.054,2.05,2.2889,1.7752,,1.7526,,0.233,0.218,0.209,0.196,0.2181,0.2342,,,0.2042,,0.263,0.243,0.285,0.234,0.268,0.26,0.247,,0.265,,0.2333,0.2378,0.2311,0.24,0.24,0.2333,0.2189,,0.2456,,0.674,0.5217,0.658,0.6091,0.5425,0.5302,0.6831,0.6428,0.6271,
merged-10-checkpoints,10000,2.0603,1.6866,1.8948,1.8897,2.05,2.2902,1.881,,1.7526,,0.234,0.216,0.221,0.188,0.2191,0.2332,,,0.2082,,0.261,0.249,0.272,0.245,0.259,0.262,0.237,,0.257,,0.23,0.2467,0.2444,0.2344,0.2322,0.24,0.2222,,0.2411,,0.6935,0.4955,0.6482,0.6064,0.5329,0.5318,0.6757,0.679,0.6375,
merged-10-checkpoints,11000,2.3605,2.2267,2.3051,2.8777,2.9941,2.1546,2.0416,,1.8417,,0.236,0.222,0.219,0.188,0.2262,0.2322,,,0.2082,,0.25,0.247,0.283,0.246,0.246,0.258,0.247,,0.259,,0.2289,0.25,0.2367,0.2422,0.2356,0.2422,0.2189,,0.2378,,0.7143,0.4753,0.6564,0.6115,0.5517,0.5475,0.69,0.6634,0.6436,
merged-10-checkpoints,12000,2.3613,2.2275,2.9129,3.1689,2.8931,2.56,2.1359,,1.9705,,0.234,0.224,0.22,0.192,0.2211,0.2251,,,0.2032,,0.265,0.246,0.278,0.255,0.253,0.269,0.252,,0.256,,0.2278,0.2611,0.24,0.2444,0.2344,0.2433,0.2233,,0.2244,,0.687,0.5079,0.6364,0.5985,0.5522,0.5472,0.6871,0.6379,0.6453,
merged-10-checkpoints,13000,2.4699,2.3298,2.9129,3.1689,2.9972,2.4244,2.1359,,2.0609,,0.231,0.224,0.215,0.193,0.2191,0.2241,,,0.2022,,0.26,0.247,0.283,0.253,0.257,0.261,0.244,,0.254,,0.2378,0.2511,0.2356,0.2478,0.2256,0.2356,0.2267,,0.2333,,0.7,0.4556,0.6332,0.6158,0.5451,0.5565,0.6889,0.6239,0.644,
merged-10-checkpoints,14000,2.3622,2.2282,2.5067,3.1689,2.5791,2.2889,2.0428,,1.971,,0.231,0.216,0.216,0.191,0.216,0.2191,,,0.2072,,0.265,0.239,0.279,0.239,0.26,0.258,0.251,,0.252,,0.23,0.2556,0.2367,0.2422,0.2267,0.2456,0.2344,,0.24,,0.7169,0.4831,0.6431,0.604,0.5527,0.5685,0.6739,0.6642,0.6506,
merged-10-checkpoints,15000,2.3622,2.2282,2.5067,3.1689,2.5791,2.0178,2.0428,,1.971,,0.221,0.215,0.216,0.193,0.2272,0.2161,,,0.2012,,0.254,0.251,0.276,0.238,0.26,0.265,0.254,,0.259,,0.2289,0.26,0.2356,0.2356,0.2256,0.2444,0.2367,,0.2278,,0.7208,0.4715,0.6454,0.6091,0.5506,0.5428,0.6837,0.6535,0.6393,
merged-10-checkpoints,16000,2.3622,2.2282,2.8103,3.1689,2.8915,2.0178,2.0428,,1.971,,0.224,0.222,0.214,0.186,0.2252,0.2141,,,0.2012,,0.256,0.25,0.268,0.239,0.258,0.274,0.25,,0.256,,0.2422,0.2556,0.2333,0.2367,0.2322,0.2489,0.2422,,0.2433,,0.7195,0.4942,0.6494,0.6075,0.5548,0.5595,0.694,0.6346,0.641,
merged-10-checkpoints,17000,2.3622,2.2282,2.5067,3.0272,2.5791,2.1533,2.0428,,1.971,,0.224,0.218,0.212,0.189,0.217,0.2121,,,0.2062,,0.258,0.253,0.274,0.251,0.261,0.264,0.256,,0.243,,0.23,0.2511,0.2367,0.2367,0.2289,0.2467,0.2433,,0.2489,,0.7117,0.4873,0.6505,0.6087,0.5339,0.5422,0.6848,0.656,0.6371,
merged-10-checkpoints,18000,2.2552,2.1273,2.407,3.0272,2.4765,2.2889,1.9503,,1.8818,,0.227,0.223,0.212,0.189,0.2252,0.2121,,,0.2052,,0.252,0.244,0.269,0.246,0.257,0.27,0.252,,0.248,,0.2367,0.2656,0.2322,0.24,0.2311,0.2467,0.2222,,0.2311,,0.7026,0.4839,0.6403,0.6181,0.5373,0.5448,0.6958,0.6576,0.6262,
merged-10-checkpoints,19000,2.2552,2.1273,2.407,3.0272,2.4765,2.1533,1.9503,,1.8818,,0.226,0.218,0.213,0.183,0.2272,0.2251,,,0.2072,,0.255,0.245,0.273,0.242,0.258,0.268,0.25,,0.252,,0.2333,0.2567,0.2467,0.2444,0.2289,0.2378,0.2344,,0.2433,,0.7091,0.4968,0.6631,0.6185,0.5373,0.5238,0.6854,0.665,0.6175,
merged-10-checkpoints,20000,2.2552,2.1273,2.407,3.1689,2.4765,2.1533,1.9503,,1.8818,,0.217,0.222,0.211,0.187,0.2292,0.2211,,,0.2062,,0.246,0.25,0.27,0.248,0.264,0.271,0.246,,0.253,,0.24,0.2533,0.2422,0.2356,0.2322,0.2378,0.23,,0.2433,,0.7182,0.4698,0.6702,0.6075,0.5433,0.5295,0.69,0.6765,0.6205,
merged-10-checkpoints,21000,2.2552,2.1273,2.407,3.0272,2.4765,2.1533,1.9503,,1.8818,,0.225,0.219,0.212,0.189,0.2241,0.2161,,,0.2093,,0.247,0.248,0.271,0.241,0.27,0.264,0.249,,0.255,,0.2467,0.2556,0.2356,0.2411,0.23,0.2456,0.2322,,0.2344,,0.713,0.4852,0.6797,0.6119,0.5384,0.5465,0.694,0.6691,0.6162,
merged-10-checkpoints,22000,2.2552,2.1273,2.407,3.0272,2.4765,2.1533,1.7065,,1.8818,,0.22,0.221,0.223,0.182,0.2272,0.2191,,,0.2062,,0.246,0.242,0.261,0.247,0.271,0.269,0.243,,0.258,,0.2511,0.2478,0.2522,0.2444,0.2311,0.2478,0.2311,,0.2356,,0.7182,0.4882,0.684,0.626,0.5498,0.5475,0.686,0.6593,0.6105,
merged-10-checkpoints,23000,2.2552,2.1273,2.407,3.0272,2.4765,2.1533,1.9503,,1.8818,,0.21,0.219,0.22,0.187,0.2333,0.2201,,,0.1972,,0.247,0.255,0.264,0.24,0.261,0.258,0.241,,0.256,,0.25,0.2556,0.2467,0.2456,0.2233,0.2489,0.2267,,0.2344,,0.7117,0.5577,0.6836,0.626,0.529,0.5398,0.6797,0.6453,0.6188,
merged-10-checkpoints,24000,2.2552,2.1273,2.407,3.0272,2.4765,2.1533,1.9503,,1.8818,,0.216,0.218,0.217,0.186,0.2282,0.2241,,,0.2022,,0.241,0.251,0.267,0.238,0.266,0.264,0.245,,0.253,,0.2489,0.2478,0.2344,0.2378,0.2322,0.2344,0.2322,,0.2311,,0.7247,0.5341,0.6773,0.6158,0.5269,0.5312,0.6848,0.6494,0.6236,
merged-10-checkpoints,25000,2.2552,2.1273,2.407,3.0272,2.4765,2.1533,1.9503,,1.8818,,0.217,0.22,0.214,0.187,0.2302,0.2221,,,0.2062,,0.244,0.255,0.267,0.241,0.263,0.262,0.24,,0.256,,0.2478,0.2422,0.2411,0.2333,0.2356,0.2433,0.2256,,0.2256,,0.7091,0.5719,0.682,0.6193,0.5342,0.5258,0.678,0.6469,0.6153,
merged-10-checkpoints,26000,2.2552,2.1273,2.407,3.0272,2.4765,2.0191,1.9503,,1.8818,,0.218,0.219,0.219,0.187,0.2221,0.2241,,,0.2022,,0.24,0.244,0.259,0.229,0.27,0.265,0.251,,0.256,,0.2489,0.2422,0.2422,0.2333,0.2289,0.2489,0.2289,,0.2267,,0.7026,0.5324,0.6804,0.6205,0.5329,0.5205,0.6877,0.6486,0.6166,
merged-10-checkpoints,27000,2.1483,2.1273,2.407,3.0272,2.4765,1.8835,1.8577,,1.8818,,0.222,0.213,0.222,0.189,0.2181,0.2181,,,0.2022,,0.253,0.253,0.263,0.236,0.264,0.265,0.243,,0.249,,0.2467,0.2533,0.2456,0.2378,0.2278,0.2511,0.2289,,0.2167,,0.7052,0.5414,0.6797,0.6181,0.5284,0.5258,0.6883,0.656,0.6218,
merged-10-checkpoints,28000,2.2552,2.1273,2.3072,3.0272,2.3739,1.8835,1.9503,,1.8818,,0.221,0.218,0.226,0.187,0.2201,0.2171,,,0.1992,,0.248,0.25,0.274,0.236,0.257,0.265,0.24,,0.255,,0.25,0.2467,0.25,0.2444,0.2278,0.2489,0.2244,,0.2233,,0.6987,0.532,0.6777,0.6068,0.5204,0.5148,0.6958,0.6469,0.6245,
merged-10-checkpoints,29000,2.1483,2.0264,2.407,3.0272,2.4765,2.1533,1.9503,,1.7925,,0.219,0.219,0.219,0.187,0.217,0.2181,,,0.2002,,0.255,0.249,0.256,0.232,0.254,0.259,0.241,,0.254,,0.2522,0.2367,0.2411,0.2422,0.2233,0.2522,0.2322,,0.2233,,0.7065,0.5727,0.6958,0.6115,0.524,0.5238,0.686,0.6469,0.6379,
merged-10-checkpoints,30000,2.1483,2.0264,2.3072,3.0272,2.3739,2.0178,1.8577,,1.7925,,0.217,0.22,0.222,0.193,0.2191,0.2201,,,0.2002,,0.248,0.256,0.26,0.245,0.252,0.255,0.25,,0.256,,0.2578,0.2511,0.2444,0.2356,0.2222,0.2456,0.2311,,0.2244,,0.7117,0.5097,0.6785,0.604,0.5157,0.5365,0.6728,0.6477,0.631,
merged-10-checkpoints,31000,2.1483,2.0264,2.3072,3.0272,2.3739,2.0178,1.8577,,1.7925,,0.22,0.215,0.216,0.188,0.214,0.2231,,,0.1982,,0.255,0.254,0.265,0.237,0.261,0.257,0.244,,0.269,,0.2411,0.2467,0.2378,0.2478,0.2256,0.2467,0.2411,,0.2256,,0.713,0.5272,0.6848,0.6115,0.5222,0.5332,0.6808,0.6626,0.6301,
merged-10-checkpoints,32000,2.1483,2.0264,2.3072,3.0272,2.3739,2.0178,1.8577,,1.7925,,0.217,0.223,0.218,0.195,0.213,0.2251,,,0.1992,,0.251,0.243,0.259,0.237,0.254,0.261,0.242,,0.261,,0.2489,0.2533,0.2389,0.2533,0.2233,0.2456,0.24,,0.2256,,0.7182,0.5564,0.6848,0.6346,0.5219,0.5285,0.6757,0.6535,0.6319,
merged-10-checkpoints,33000,2.1483,2.0264,2.3072,3.0272,2.3739,2.0178,1.8577,,1.7925,,0.216,0.226,0.221,0.19,0.214,0.2191,,,0.1972,,0.248,0.246,0.261,0.242,0.257,0.246,0.254,,0.261,,0.2411,0.2489,0.24,0.2444,0.2311,0.2511,0.2389,,0.2211,,0.7156,0.5624,0.68,0.6334,0.5188,0.5342,0.6688,0.6453,0.6284,
merged-10-checkpoints,34000,1.8798,1.8149,2.0188,2.6488,2.0638,1.6481,1.4636,,1.7642,,0.217,0.219,0.213,0.188,0.2231,0.2231,,,0.1932,,0.25,0.253,0.262,0.248,0.254,0.262,0.245,,0.27,,0.2511,0.2489,0.2389,0.2567,0.2311,0.2478,0.2344,,0.2278,,0.7078,0.5238,0.6623,0.6303,0.5237,0.5378,0.6762,0.6329,0.6218,
merged-10-checkpoints,35000,2.1483,2.0264,2.3072,3.0272,2.3739,1.8835,1.8577,,1.7925,,0.213,0.216,0.211,0.19,0.2262,0.2322,,,0.1942,,0.249,0.252,0.254,0.244,0.249,0.26,0.248,,0.261,,0.2433,0.2522,0.2378,0.2489,0.2333,0.2422,0.2289,,0.22,,0.7039,0.5105,0.6667,0.6319,0.5337,0.5355,0.6734,0.6362,0.6288,
merged-10-checkpoints,36000,2.1483,2.0264,2.3072,3.0272,2.0638,1.8835,1.8577,,1.7925,,0.223,0.223,0.208,0.187,0.2252,0.2392,,,0.2042,,0.249,0.248,0.265,0.238,0.256,0.263,0.238,,0.272,,0.2478,0.2667,0.24,0.2511,0.2278,0.2467,0.2322,,0.2278,,0.7299,0.5002,0.6596,0.6354,0.5433,0.5382,0.6716,0.6486,0.631,
merged-10-checkpoints,37000,2.1483,2.0264,2.3072,3.0272,2.3739,2.0178,1.8577,,1.7925,,0.214,0.216,0.218,0.187,0.214,0.2261,,,0.1922,,0.254,0.246,0.262,0.242,0.25,0.267,0.237,,0.257,,0.2422,0.2533,0.24,0.24,0.2267,0.25,0.2233,,0.22,,0.7221,0.4869,0.6698,0.6268,0.5368,0.5208,0.6711,0.6658,0.6201,
merged-10-checkpoints,38000,2.1483,2.0264,2.3072,3.0272,2.3739,2.0178,1.8577,,1.7925,,0.217,0.219,0.216,0.184,0.2191,0.2342,,,0.1962,,0.24,0.251,0.267,0.246,0.244,0.266,0.228,,0.244,,0.2433,0.2556,0.2344,0.2411,0.2233,0.2511,0.2344,,0.2256,,0.7078,0.4831,0.6564,0.6256,0.5261,0.5268,0.6751,0.651,0.6292,
merged-10-checkpoints,39000,2.1483,1.7216,2.3072,3.0272,2.0638,1.5229,1.5784,,1.7925,,0.213,0.219,0.211,0.18,0.217,0.2291,,,0.1972,,0.252,0.248,0.256,0.243,0.252,0.273,0.242,,0.248,,0.2444,0.2578,0.2344,0.2356,0.2267,0.2522,0.2356,,0.23,,0.7039,0.4955,0.6757,0.6342,0.5264,0.5338,0.6814,0.6634,0.6305,
merged-10-checkpoints,40000,2.1483,2.0264,2.3072,3.0272,2.0638,1.8835,1.5784,,1.5229,,0.211,0.218,0.211,0.184,0.212,0.2291,,,0.1942,,0.249,0.245,0.244,0.245,0.267,0.266,0.243,,0.258,,0.24,0.2511,0.2433,0.2378,0.2289,0.2567,0.2389,,0.2244,,0.7156,0.4882,0.6659,0.6315,0.5162,0.5168,0.6728,0.6551,0.6162,
merged-10-checkpoints,41000,2.1483,2.0264,2.3072,3.0272,2.3739,1.8835,1.8577,,1.7925,,0.212,0.212,0.214,0.177,0.216,0.2312,,,0.1942,,0.248,0.245,0.254,0.24,0.259,0.257,0.247,,0.26,,0.2411,0.2522,0.2367,0.2378,0.2267,0.2567,0.2311,,0.2244,,0.7182,0.4732,0.6647,0.6319,0.5297,0.5175,0.6734,0.6576,0.6162,
merged-10-checkpoints,42000,2.1483,2.0264,2.3072,3.0272,2.0638,1.8835,1.5784,,1.7925,,0.214,0.21,0.215,0.174,0.2211,0.2322,,,0.2012,,0.247,0.24,0.251,0.239,0.256,0.264,0.242,,0.256,,0.2389,0.2456,0.24,0.2322,0.2256,0.2522,0.2289,,0.2222,,0.7182,0.4573,0.6639,0.6193,0.5318,0.5038,0.6722,0.6469,0.6118,
merged-10-checkpoints,43000,1.8251,1.7216,2.3072,3.0272,2.0638,1.8835,1.5784,,1.7925,,0.222,0.209,0.211,0.18,0.217,0.2261,,,0.1992,,0.25,0.248,0.25,0.239,0.259,0.262,0.25,,0.251,,0.2389,0.2433,0.2311,0.2333,0.2278,0.2644,0.2278,,0.2267,,0.7143,0.4689,0.6612,0.6189,0.5358,0.5132,0.6797,0.6214,0.6088,
merged-10-checkpoints,44000,2.1483,2.0264,2.0058,3.0272,2.0638,1.8835,1.5784,,1.7925,,0.22,0.213,0.22,0.179,0.2191,0.2261,,,0.1982,,0.246,0.245,0.252,0.241,0.255,0.272,0.243,,0.257,,0.2444,0.2467,0.2389,0.2244,0.2267,0.2667,0.2289,,0.22,,0.7208,0.4535,0.6596,0.6162,0.5326,0.5168,0.6866,0.6313,0.604,
merged-10-checkpoints,45000,1.8251,2.0264,2.3072,3.0272,2.0638,1.8835,1.5784,,1.7925,,0.217,0.209,0.218,0.181,0.2211,0.2261,,,0.2002,,0.253,0.248,0.261,0.231,0.257,0.273,0.242,,0.255,,0.2444,0.2489,0.2444,0.2278,0.2267,0.2722,0.2322,,0.2156,,0.726,0.4637,0.6564,0.6162,0.5217,0.5155,0.6848,0.623,0.6057,
merged-10-checkpoints,46000,2.1483,2.0264,2.3072,3.0272,2.0638,1.8835,1.8577,,1.7925,,0.218,0.207,0.214,0.183,0.2262,0.2261,,,0.2002,,0.256,0.247,0.259,0.237,0.251,0.277,0.252,,0.249,,0.2456,0.25,0.2411,0.2344,0.23,0.2711,0.2333,,0.2167,,0.7208,0.4479,0.6525,0.6087,0.5251,0.5225,0.6791,0.6305,0.6057,
merged-10-checkpoints,47000,2.1483,2.0264,2.3072,3.0272,2.0638,1.8835,1.8577,,1.7925,,0.215,0.207,0.212,0.184,0.2262,0.2241,,,0.1992,,0.259,0.246,0.256,0.237,0.247,0.28,0.252,,0.249,,0.2433,0.2467,0.24,0.2322,0.2278,0.2689,0.2278,,0.2189,,0.7143,0.4505,0.6513,0.6095,0.5274,0.5168,0.6768,0.6206,0.6075,
merged-10-checkpoints,47684,2.1483,2.0264,2.3072,3.0272,2.0638,1.8835,1.8577,,1.7925,,0.215,0.204,0.213,0.183,0.2211,0.2251,,,0.2012,,0.257,0.244,0.254,0.237,0.249,0.276,0.252,,0.248,,0.2422,0.2478,0.24,0.2367,0.2267,0.2711,0.23,,0.2189,,0.7182,0.4517,0.6529,0.6115,0.529,0.5142,0.6785,0.6239,0.6084,
merged-2-checkpoints,47684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.231,0.211,0.206,0.173,0.216,0.2181,,,0.2042,,0.269,0.242,0.271,0.241,0.263,0.24,0.245,,0.265,,0.2289,0.2456,0.2511,0.2467,0.2311,0.2456,0.2433,,0.2178,,0.6597,0.6169,0.6934,0.668,0.535,0.5322,0.6791,0.6362,0.661,
merged-3-checkpoints,47684,0.9676,0.0,0.8992,0.0,0.7138,0.0,1.1064,,3.6232,,0.228,0.218,0.211,0.181,0.2231,0.2131,,,0.1992,,0.268,0.243,0.255,0.249,0.262,0.239,0.237,,0.269,,0.24,0.2389,0.2522,0.2378,0.2233,0.2478,0.2489,,0.2322,,0.6338,0.619,0.6824,0.6491,0.5331,0.5695,0.7009,0.6864,0.6684,
merged-4-checkpoints,47684,4.9214,3.6877,2.999,2.4236,3.7152,2.3079,4.4772,,5.2226,,0.222,0.212,0.202,0.187,0.2191,0.2101,,,0.2022,,0.27,0.256,0.261,0.241,0.268,0.264,0.244,,0.259,,0.2244,0.2544,0.25,0.2433,0.2267,0.2578,0.2344,,0.24,,0.7208,0.5564,0.6761,0.6154,0.5454,0.5098,0.6757,0.6354,0.6462,
merged-5-checkpoints,47684,4.9214,3.1823,2.1148,2.4236,3.2001,2.3079,4.4772,,5.2226,,0.214,0.214,0.204,0.186,0.2211,0.2161,,,0.1881,,0.263,0.253,0.26,0.246,0.267,0.264,0.24,,0.257,,0.2222,0.2489,0.2511,0.2478,0.2356,0.2467,0.2267,,0.2433,,0.6597,0.6036,0.6745,0.5989,0.5368,0.5242,0.6659,0.6724,0.6319,
merged-6-checkpoints,47684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.226,0.221,0.223,0.191,0.2191,0.2342,,,0.2042,,0.267,0.246,0.266,0.244,0.258,0.266,0.235,,0.252,,0.2311,0.2578,0.2411,0.2444,0.2278,0.2511,0.2344,,0.2178,,0.661,0.6332,0.7127,0.6079,0.5592,0.5262,0.6912,0.6765,0.6427,
merged-7-checkpoints,47684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.218,0.22,0.209,0.184,0.2272,0.2271,,,0.2022,,0.274,0.245,0.257,0.24,0.258,0.27,0.238,,0.256,,0.2444,0.2611,0.24,0.2289,0.2244,0.2533,0.2289,,0.2233,,0.6649,0.619,0.6852,0.6295,0.5629,0.5222,0.6762,0.6091,0.6536,
merged-8-checkpoints,47684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.219,0.215,0.212,0.182,0.2282,0.2271,,,0.1982,,0.247,0.248,0.255,0.255,0.258,0.269,0.256,,0.258,,0.2311,0.2444,0.2344,0.2378,0.24,0.2622,0.2311,,0.2156,,0.6753,0.6212,0.68,0.6221,0.542,0.5265,0.6946,0.6132,0.6519,
merged-9-checkpoints,47684,2.3598,4.1594,3.7543,2.6488,0.0,0.0,0.0,,1.8818,,0.22,0.22,0.203,0.179,0.2181,0.2302,,,0.2012,,0.262,0.242,0.262,0.247,0.262,0.265,0.254,,0.256,,0.2411,0.2456,0.2533,0.2378,0.2311,0.2433,0.2411,,0.2211,,0.6234,0.5341,0.6655,0.6068,0.5224,0.5242,0.6946,0.6313,0.6184,
gemma-2-2b,47684,43.8934,42.7486,47.4773,53.6528,47.5564,33.5008,38.8404,,51.9646,,0.682,0.38,0.452,0.439,0.3316,0.4291,,,0.4859,,0.745,0.506,0.588,0.586,0.519,0.531,0.459,,0.507,,0.59,0.4822,0.5289,0.5256,0.4944,0.4633,0.4211,,0.5233,,,,,,,,,,,
tiny-aya-base,47684,51.3744,36.9956,33.3465,56.0869,50.5559,26.4241,41.1999,,44.228,,0.651,0.455,0.488,0.477,0.3884,0.5106,,,0.499,,0.735,0.523,0.612,0.616,0.55,0.618,0.517,,0.56,,0.61,0.5356,0.5744,0.5856,0.5433,0.52,0.47,,0.5833,,,,,,,,,,,
